66.249.64.204 - - [14/Aug/2019:17:14:27 +0300] "GET /tag/dublicate/ HTTP/1.1" 200 9576 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"rt=0.777 uct="0.000" uht="0.719" urt="0.777"
77.247.110.69 - - [14/Aug/2019:17:19:49 +0300] "HEAD /robots.txt HTTP/1.0" 404 0 "-" "-"rt=0.019 uct="-" uht="-" urt="-"
185.12.124.78 - - [14/Aug/2019:17:23:47 +0300] "GET / HTTP/1.1" 301 185 "-" "Mozilla/5.0 (compatible; BackupLand/1.0; https://go.backupland.com/; Domain check for viruses;)"rt=0.000 uct="-" uht="-" urt="-"
185.12.124.78 - - [14/Aug/2019:17:23:48 +0300] "GET / HTTP/1.1" 200 14475 "-" "Mozilla/5.0 (compatible; BackupLand/1.0; https://go.backupland.com/; Domain check for viruses;)"rt=0.296 uct="0.000" uht="0.208" urt="0.296"
167.99.14.153 - - [14/Aug/2019:17:28:00 +0300] "GET /wp-login.php HTTP/1.1" 200 1338 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.252 uct="0.000" uht="0.252" urt="0.252"
167.99.14.153 - - [14/Aug/2019:17:28:01 +0300] "POST /wp-login.php HTTP/1.1" 200 1721 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.309 uct="0.000" uht="0.209" urt="0.209"
167.99.14.153 - - [14/Aug/2019:17:28:02 +0300] "POST /xmlrpc.php HTTP/1.1" 200 292 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.338 uct="0.000" uht="0.242" urt="0.243"
148.251.223.21 - - [14/Aug/2019:17:30:53 +0300] "GET /%D0%A3%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%A1%D0%A3%D0%91%D0%94-oracle/ HTTP/1.1" 200 6193 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.224 uct="0.000" uht="0.195" urt="0.224"
148.251.223.21 - - [14/Aug/2019:17:31:04 +0300] "GET /2017/08/03/ HTTP/1.1" 200 10164 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.245 uct="0.000" uht="0.182" urt="0.245"
148.251.223.21 - - [14/Aug/2019:17:31:17 +0300] "GET /2017/05/19/%D1%81%D0%BC%D0%B5%D0%BD%D0%B0-%D0%BF%D0%B0%D1%80%D0%BE%D0%BB%D1%8F-%D1%83-asmsnmp/ HTTP/1.1" 200 10245 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.246 uct="0.000" uht="0.188" urt="0.246"
148.251.223.21 - - [14/Aug/2019:17:31:30 +0300] "GET /2017/08/03/enq-tm-contention/ HTTP/1.1" 200 10246 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.256 uct="0.000" uht="0.197" urt="0.256"
148.251.223.21 - - [14/Aug/2019:17:31:35 +0300] "GET /2017/11/01/standby-recover-from-service/ HTTP/1.1" 200 10019 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.245 uct="0.000" uht="0.184" urt="0.245"
148.251.223.21 - - [14/Aug/2019:17:31:39 +0300] "GET /%D0%A3%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%A1%D0%A3%D0%91%D0%94-oracle/ HTTP/1.1" 301 185 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.000 uct="-" uht="-" urt="-"
148.251.223.21 - - [14/Aug/2019:17:31:49 +0300] "GET /2017/09/28/ HTTP/1.1" 200 9897 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.253 uct="0.000" uht="0.193" urt="0.253"
148.251.223.21 - - [14/Aug/2019:17:32:00 +0300] "GET /%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BA%D0%BE%D0%BD%D1%84%D0%B8%D0%B3%D1%83%D1%80%D0%B0%D1%86%D0%B8%D0%B9-%D0%B4%D0%BB%D1%8F-%D0%B2%D1%8B%D1%81/ HTTP/1.1" 200 6270 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.218 uct="0.000" uht="0.189" urt="0.218"
